lr,weight_decay,head_hidden,dropout,scenario,val_auc
0.001,0.0001,128,0.7,None,0.9318041871921182
0.0005,0.0001,128,0.3,None,0.9322275246305418
0.001,0.0001,512,0.7,None,0.932496921182266
0.001,0.0001,512,0.5,None,0.9376924261083743
0.0002,0.0001,128,0.3,None,0.9316502463054188
0.0002,0.0001,512,0.3,None,0.9303417487684729
0.001,0.001,128,0.5,None,0.9341902709359606
0.001,0.001,128,0.3,None,0.9270705049261083
0.001,0.001,256,0.5,None,0.9353448275862069
0.0002,0.0001,256,0.3,None,0.9321120689655172
0.0002,0.001,128,0.5,None,0.9297259852216748
0.0005,0.001,128,0.7,None,0.9252232142857143
0.0005,0.0001,256,0.3,None,0.9348060344827587
0.001,0.001,512,0.7,None,0.9417333743842364
0.0005,0.0001,512,0.3,None,0.9341517857142857
0.0002,0.0001,256,0.3,Basic,0.9256465517241379
0.0002,0.0001,256,0.5,Basic,0.9405018472906403
0.0005,0.001,128,0.5,Basic,0.9403863916256158
0.0005,0.0001,512,0.5,Basic,0.942503078817734
0.001,0.0001,512,0.7,Basic,0.9411176108374384
0.0002,0.0001,128,0.5,Basic,0.9331126847290641
0.0005,0.001,512,0.7,Basic,0.9444658251231528
0.001,0.0001,512,0.5,Basic,0.9379233374384237
0.0002,0.0001,128,0.5,Basic,0.9302262931034483
0.0005,0.001,128,0.3,Basic,0.9456973522167488
0.001,0.001,128,0.7,Basic,0.9399630541871922
0.0005,0.001,512,0.5,Basic,0.9406557881773399
0.0002,0.001,128,0.3,Basic,0.9272244458128078
0.001,0.001,512,0.7,Basic,0.9387700123152709
0.0005,0.001,256,0.3,Basic,0.9363839285714286
0.0002,0.001,128,0.3,Advanced,0.9463131157635468
0.0002,0.0001,512,0.3,Advanced,0.935306342364532
0.001,0.001,512,0.3,Advanced,0.9422336822660098
0.0005,0.001,512,0.5,Advanced,0.9415409482758621
0.001,0.001,512,0.3,Advanced,0.9376154556650247
0.001,0.0001,512,0.7,Advanced,0.9490840517241379
0.0005,0.001,128,0.5,Advanced,0.942503078817734
0.0005,0.0001,256,0.3,Advanced,0.9440424876847291
0.001,0.001,512,0.3,Advanced,0.9479679802955665
0.001,0.0001,512,0.5,Advanced,0.9467364532019704
0.001,0.0001,128,0.5,Advanced,0.9444273399014778
0.0002,0.0001,512,0.5,Advanced,0.9498152709359606
0.0005,0.0001,128,0.5,Advanced,0.9389239532019704
0.0005,0.0001,128,0.3,Advanced,0.9437730911330049
0.001,0.0001,128,0.7,Advanced,0.9441194581280787
